Date,Total,Menores,Mayores,ipc,expending,iva_g,iva_r,iva_s,ipc_1,ipc_cumprod,expending_ipc_adj,expending_child_adj,expending_all_adj
2006-01-01,44009969,7729445,37075762,4.2,11127.92,16,7,4,0.9596928982725528,1.0,11127.92,11127.92,11127.92
2007-01-01,44784659,7870959,37759986,2.4,11757.59,16,7,4,0.9765625,0.9596928982725528,11757.59,11755.900773782783,11755.900773782783
2008-01-01,45668938,8037246,38534828,4.3,11895.05,16,7,4,0.9587727708533078,0.9372000959692898,11415.595009596927,11420.737870036244,11420.737870036244
2009-01-01,46239271,8187566,39009330,0.8,11439.02,16,7,4,0.9920634920634921,0.8985619328564619,10720.650641794626,10793.175547175477,10793.175547175477
2010-01-01,46486621,8263236,39239290,1.0,11275.86,16,7,4,0.9900990099009901,0.8914304889449027,10132.058556218864,10234.543619982443,10234.543619982443
2011-01-01,46667175,8310553,39432571,3.3,11280.88,18,8,4,0.9680542110358181,0.8826044444999037,10056.120374128774,10165.928884436948,10054.215380212367
2012-01-01,46818216,8357491,39600460,2.0,11012.21,21,10,4,0.9803921568627451,0.8544089491770608,9719.425489766283,9839.16074935881,9550.833694432546
2013-01-01,46712650,8361422,39532925,2.7,10715.52,21,10,4,0.9737098344693282,0.8376558325265302,9155.436183085778,9288.42349672627,9016.235262389968
2014-01-01,46495744,8332411,39405251,0.2,10780.1,21,10,4,0.998003992015968,0.8156337220316751,9030.01364021925,9158.97273373521,8890.57792835103
2015-01-01,46425722,8323136,39401025,-1.3,10981.77,21,10,4,1.0131712259371835,0.8140057106104541,8957.101939595788,9075.880362045444,8809.9204979562
2016-01-01,46418884,8314746,39454181,-0.3,11312.41,21,10,4,1.0030090270812437,0.824727163739062,9208.366340766806,9308.51316601412,9035.7362234203
2017-01-01,46497393,8315931,39586374,3.0,11726.36,21,10,4,0.970873786407767,0.8272087901093901,9671.047623783186,9744.968734501104,9459.401885138435
2018-01-01,46645070,8307546,39795107,0.6,12018.94,21,10,4,0.9940357852882704,0.8031153302032914,9942.172815797354,9955.570683530219,9663.832348481714
2019-01-01,46918951,8283325,40142955,1.0,12151.5,21,10,4,0.9900990099009901,0.7983253779356774,9759.055934965296,9659.284204102716,9376.228256729742
2020-01-01,47318050,8269560,40603446,1.1,10848.22,21,10,4,0.9891196834817014,0.7904211662729479,8660.409331429373,8460.571552160742,8212.642715467387
2021-01-01,47400798,8184691,40777992,0.5,11779.97,21,10,4,0.9950248756218907,0.7818211338011355,9311.137626060337,8964.39473667799,8701.701850621492
2022-01-01,47486727,8088618,40998695,6.1,12779.54,21,10,4,0.942507068803016,0.7779314764190404,9991.314452256964,9455.15590454841,9178.081738847357
2023-01-01,48085361,8078184,41610254,5.9,13120.1,21,10,4,0.9442870632672333,0.7332059155693124,10206.538763765451,9504.595482129365,9226.072537598102
